"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"Lang"
"Clôture des journées par la chef du comité organisation @Natty_V2. Rendez-vous à Anglet #RR2016 #rstats #RR2017 https://t.co/jfCJITdDyu";FALSE;4;NA;2016-06-24 13:50:51;FALSE;NA;"746339808990081024";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"StatFr";5;FALSE;FALSE;NA;NA;"FR"
"#RR2016 #rstats on arrive à la fin de trois journées enrichissantes autour de #R et de la #Stat... Bravo aux orgas! https://t.co/cNLGSVenC0";FALSE;1;NA;2016-06-24 13:41:21;FALSE;NA;"746337417003732993";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"alykisdata";2;FALSE;FALSE;NA;NA;"FR"
"Dernier <U+26A1> talk des #rr2016 : 24s ne suffiront pas à lire le titre! #rstats #shiny https://t.co/W4wd0rI6PM";FALSE;0;NA;2016-06-24 13:35:20;FALSE;NA;"746335905070350336";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"alykisdata";0;FALSE;FALSE;NA;NA;"FR"
"Relais ""lignting talk"" avec la nouvelle génération #RR2016 #rstats https://t.co/5nnF81QrKx";FALSE;1;NA;2016-06-24 13:26:52;FALSE;NA;"746333771557912576";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Lionning13";1;FALSE;FALSE;NA;NA;"FR"
"Présentation R++ ce matin aux rencontres R Toulouse, @r_plus_plus : on attend le proto avec impatience ;) #RR2016 #rstats";FALSE;1;NA;2016-06-24 12:41:48;FALSE;NA;"746322431674093568";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"alinedeschamps";0;FALSE;FALSE;NA;NA;"FR"
"RT @andreamrau: François Husson on lots of ways to make #rstats packages +visible: books, websites, Shiny apps, forums, videos, vignettes,…";FALSE;0;NA;2016-06-24 09:22:23;FALSE;NA;"746272246356926464";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"cbouveyron";1;TRUE;FALSE;NA;NA;"FR"
"François Husson on lots of ways to make #rstats packages +visible: books, websites, Shiny apps, forums, videos, vignettes, MOOCs! #RR2016";FALSE;3;NA;2016-06-24 09:08:18;FALSE;NA;"746268702933385216";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"andreamrau";1;FALSE;FALSE;NA;NA;"FR"
"François Husson hinting #Rcpp as a way to improve a package. #rr2016 https://t.co/6nWrOXERah";FALSE;8;NA;2016-06-24 08:45:54;FALSE;NA;"746263067491770368";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"romain_francois";0;FALSE;FALSE;NA;NA;"FR"
"RT @Lionning13: Si vous cherchez la station essence la moins chère proche de chez vous : https://t.co/CRbHltcu1e 
Fais avec Shiny de R #RR2…";FALSE;0;NA;2016-06-24 07:43:13;FALSE;NA;"746247290575282176";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"alinedeschamps";1;TRUE;FALSE;NA;NA;"FR"
"Si vous cherchez la station essence la moins chère proche de chez vous : https://t.co/CRbHltcu1e 
Fais avec Shiny de R #RR2016 #rstats";FALSE;0;NA;2016-06-24 07:36:31;FALSE;NA;"746245606704844800";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Lionning13";1;FALSE;FALSE;NA;NA;"FR"
